incidente,data_andamento,decisao,agravo,orgao_julgador,novo_cpc,adc,adi,adpf,re,sumula,assunto,segmento,instancia,area,paradigma,efeito_vinculante,data_autuacao
4751583,2015-05-29,procedente,não,Cármen Lúcia,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2015-04-09
4762417,2015-05-29,procedente,não,Cármen Lúcia,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2015-04-24
4765852,2015-05-29,procedente,não,Luís Roberto Barroso,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,segunda,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2015-04-29
4772025,2015-06-01,procedente,não,Luís Roberto Barroso,CPC/1973,não,não,não,não,não,PROCESSUAL CIVIL E DO TRABALHO,estadual,segunda,DIREITO PROCESSUAL CIVIL E DO TRABALHO,inter_partes,nao_vinculante,2015-05-11
4762659,2015-05-29,procedente,não,Luiz Fux,CPC/1973,não,não,não,sim,sim,PROCESSUAL CIVIL E DO TRABALHO,estadual,segunda,DIREITO PROCESSUAL CIVIL E DO TRABALHO,sumula,vinculante,2015-04-24
4778603,2015-06-01,procedente,não,Luiz Fux,CPC/1973,não,sim,não,não,não,PROCESSUAL CIVIL E DO TRABALHO,trabalho,segunda,DIREITO PROCESSUAL CIVIL E DO TRABALHO,controle_concentrado,vinculante,2015-05-20
4779003,2015-06-01,procedente,não,Luiz Fux,CPC/1973,não,não,não,sim,não,PROCESSUAL CIVIL E DO TRABALHO,estadual,segunda,DIREITO PROCESSUAL CIVIL E DO TRABALHO,rext,vinculante,2015-05-20
4732373,2015-06-01,procedente,não,Luís Roberto Barroso,CPC/1973,não,sim,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,segunda,DIREITO DO TRABALHO,controle_concentrado,vinculante,2015-03-13
4571738,2015-06-02,procedente,não,Luiz Fux,CPC/1973,não,sim,não,não,não,PROCESSUAL CIVIL E DO TRABALHO,trabalho,segunda,DIREITO PROCESSUAL CIVIL E DO TRABALHO,controle_concentrado,vinculante,2014-05-09
4688870,2015-06-01,procedente,sim,Luiz Fux,CPC/1973,não,sim,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,primeira,DIREITO DO TRABALHO,controle_concentrado,vinculante,2014-12-15
4782083,2015-06-02,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,PENAL E PROCESSO PENAL,estadual,primeira,DIREITO PROCESSUAL PENAL,inter_partes,nao_vinculante,2015-05-25
4353096,2015-06-03,procedente,sim,Teori Zavascki,CPC/1973,não,não,não,não,sim,TRABALHO E PREVIDENCIÁRIO,trabalho,segunda,DIREITO DO TRABALHO,sumula,vinculante,2013-01-11
4682805,2015-06-03,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,PROCESSUAL CIVIL E DO TRABALHO,trabalho,segunda,DIREITO PROCESSUAL CIVIL E DO TRABALHO,inter_partes,nao_vinculante,2014-12-03
4693769,2015-06-03,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2014-12-23
